latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
45.280576,-66.018401,010,029,7022,1309,2026-07-27,1513,L8,medium,D
45.280307,-66.018415,010,029,7022,1310,2026-07-27,1513,L8,high,D
45.280566,-66.018019,010,029,7023,1309,2026-07-27,1513,L8,medium,D
45.280297,-66.018033,010,029,7023,1310,2026-07-27,1513,L8,medium,D
45.47428,-92.042441,026,028,2382,5991,2026-07-27,1652,L8,low,D
45.474277,-92.042058,026,028,2383,5991,2026-07-27,1652,L8,low,D
43.361614,-105.78904,034,030,1386,3258,2026-07-27,1742,L9,high,D
43.361344,-105.789036,034,030,1386,3259,2026-07-27,1742,L9,high,D
43.361617,-105.788669,034,030,1387,3258,2026-07-27,1742,L9,high,D
43.561322,-105.482959,034,030,2217,2525,2026-07-27,1742,L9,high,D
43.561052,-105.482957,034,030,2217,2526,2026-07-27,1742,L9,high,D
30.495626,-109.629614,034,039,761,3177,2026-07-27,1746,L9,high,D
30.070132,-109.089663,034,039,2515,4724,2026-07-27,1746,L9,low,D
30.459173,-107.853658,034,039,6448,3198,2026-07-27,1746,L9,high,D
30.458902,-107.853667,034,039,6448,3199,2026-07-27,1746,L9,high,D
31.766593,-107.584477,034,038,6061,3669,2026-07-27,1745,L9,high,D
31.766585,-107.584161,034,038,6062,3669,2026-07-27,1745,L9,high,D
25.782358,-108.88488,034,042,6817,4591,2026-07-27,1747,L9,medium,D
25.782354,-108.884581,034,042,6818,4591,2026-07-27,1747,L9,medium,D
34.611137,-106.732266,034,036,6313,4001,2026-07-27,1744,L9,high,D
34.610867,-106.732261,034,036,6313,4002,2026-07-27,1744,L9,high,D
35.265822,-106.666284,034,036,6555,1584,2026-07-27,1744,L9,high,D
35.027311,-106.642685,034,036,6612,2467,2026-07-27,1744,L9,high,D
35.027041,-106.64268,034,036,6612,2468,2026-07-27,1744,L9,low,D
35.090442,-106.487637,034,036,7087,2241,2026-07-27,1744,L9,high,D
35.090172,-106.487632,034,036,7087,2242,2026-07-27,1744,L9,high,D
39.222097,-105.156104,034,033,7068,2786,2026-07-27,1743,L9,high,D
38.827498,-119.344227,042,033,1704,4189,2026-07-27,1832,L8,high,D
38.7453,-117.975982,042,033,5660,4565,2026-07-27,1832,L8,high,D
37.065694,-120.201079,042,034,380,5372,2026-07-27,1833,L8,low,D
46.804109,-116.59628,042,027,1494,6338,2026-07-27,1830,L8,high,D
47.476116,-114.898963,042,027,5744,3780,2026-07-27,1830,L8,high,D
47.471494,-114.897157,042,027,5749,3797,2026-07-27,1830,L8,high,D
49.176083,-115.237922,042,026,3448,2773,2026-07-27,1830,L8,high,D
48.39635,-114.410205,042,026,5557,5604,2026-07-27,1830,L8,high,D
48.375402,-114.196123,042,026,6088,5663,2026-07-27,1830,L8,high,D
48.375133,-114.196138,042,026,6088,5664,2026-07-27,1830,L8,high,D
41.601891,-80.483451,018,031,4252,4487,2026-07-27,1603,L9,low,D
41.50148,-80.345863,018,031,4637,4856,2026-07-27,1603,L9,low,D
41.501209,-80.345866,018,031,4637,4857,2026-07-27,1603,L9,high,D
41.495431,-80.327953,018,031,4687,4878,2026-07-27,1603,L9,high,D
41.692663,-80.32338,018,031,4694,4148,2026-07-27,1603,L9,low,D
41.664518,-80.230704,018,031,4952,4250,2026-07-27,1603,L9,high,D
41.553094,-80.216559,018,031,4995,4662,2026-07-27,1603,L9,high,D
41.75637,-79.690842,018,031,6445,3892,2026-07-27,1603,L9,low,D
41.7561,-79.690848,018,031,6445,3893,2026-07-27,1603,L9,high,D
42.197415,-79.62909,018,031,6590,2257,2026-07-27,1603,L9,high,D
41.996861,-79.600442,018,031,6681,2998,2026-07-27,1603,L9,low,D
34.212611,-83.657839,018,036,1215,5353,2026-07-27,1605,L9,low,D
34.848544,-83.404875,018,036,2048,3021,2026-07-27,1605,L9,low,D
34.84855,-83.404547,018,036,2049,3021,2026-07-27,1605,L9,high,D
